Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Age_group,Actual_Risk,Predicted_Risk,Predicted_Proba,Correct
36,male,2,1,4,2,1913,18,0,adult,0,1,0.5543591982097095,0
34,male,3,1,1,2,1860,12,1,adult,0,1,0.5288826889439101,0
48,male,2,1,1,1,1024,24,5,middle_age,1,0,0.4464656970919368,0
31,male,2,1,1,1,3104,18,0,adult,0,0,0.491519849507207,1
23,male,1,1,3,2,2520,27,5,young,1,1,0.6418193432951331,1
23,male,2,1,1,2,882,13,5,young,0,1,0.5307401807691337,0
37,female,2,1,1,2,3612,18,4,adult,0,1,0.5666152052893553,0
23,female,0,2,3,1,1352,6,1,young,0,0,0.429684212028207,1
28,male,1,2,1,2,6260,18,1,adult,0,1,0.6853231559100111,0
40,female,2,1,4,2,1322,11,1,adult,0,0,0.46929985073735647,1
39,male,2,1,3,0,2299,36,5,adult,0,0,0.41682886220610565,1
43,male,2,2,1,1,4843,12,1,middle_age,1,0,0.4562907650315116,0
42,male,1,1,1,0,1544,4,5,middle_age,0,0,0.2084112757985015,1
21,female,2,2,1,0,2570,27,1,young,1,1,0.5014439939983025,1
24,female,2,2,1,1,2124,18,4,young,1,1,0.509001489669245,1
74,male,1,1,1,0,3448,5,0,senior,0,0,0.20860693861432913,1
68,male,0,0,1,2,1175,16,1,senior,0,0,0.4856190039500969,1
57,female,1,1,2,0,1154,11,5,middle_age,0,0,0.21636005526844765,1
38,male,2,1,1,0,5954,30,5,adult,0,0,0.41341486190817933,1
37,male,2,0,0,0,2279,12,5,adult,0,0,0.23495335421357041,1
54,male,2,1,0,0,2255,24,1,middle_age,0,0,0.37131661234845575,1
28,male,2,1,1,0,3595,36,5,adult,0,0,0.4793857534278885,1
42,male,3,1,1,0,2292,12,0,middle_age,1,0,0.2803528998410444,0
23,female,1,2,1,1,3234,24,4,young,1,1,0.5848324526233332,1
48,female,1,2,1,2,1795,18,5,middle_age,0,1,0.5886920961088987,0
67,female,2,1,1,2,3872,18,6,senior,0,0,0.4806021399700624,1
34,male,1,1,0,0,1898,6,5,adult,0,0,0.24634710911598973,1
29,female,2,1,1,3,683,6,5,adult,0,1,0.5824305583345872,0
47,male,2,0,1,0,5103,24,5,middle_age,0,0,0.2980681771692804,1
29,female,3,1,1,0,1412,12,0,adult,0,0,0.30099027773971226,1
45,male,1,1,3,0,1750,6,5,middle_age,0,0,0.1944989961433909,1
28,male,2,1,1,2,1068,6,5,adult,0,0,0.4572673195593423,1
24,male,1,2,1,0,1768,12,4,young,0,0,0.34450328660413054,1
23,male,2,1,1,2,15672,48,0,young,1,1,0.8633382281427167,1
31,male,2,1,2,0,5742,36,0,adult,0,1,0.5182993543790949,0
64,male,1,2,1,1,2384,24,5,senior,0,0,0.4814200513645917,1
28,male,2,1,1,1,4169,24,4,adult,0,1,0.5135695567038491,0
24,female,2,2,1,1,4308,48,0,young,1,1,0.7908392137585771,1
44,male,2,2,3,1,2647,6,5,middle_age,0,0,0.32192431412291617,1
43,male,3,1,1,1,15857,36,7,middle_age,0,1,0.5871569642417591,0
29,female,2,1,1,1,3959,15,1,adult,1,0,0.46147030909160075,0
28,male,2,1,1,2,3060,48,5,adult,1,1,0.7992547191797026,1
48,female,1,1,0,2,4351,24,4,middle_age,0,1,0.6297733882362834,0
63,male,3,0,0,0,13756,60,1,senior,0,1,0.6509030535398802,0
36,male,2,1,4,3,1275,24,0,adult,0,1,0.7199948688653469,0
42,male,2,1,3,0,522,12,5,middle_age,0,0,0.22100435812447064,1
23,female,2,2,1,1,1216,18,1,young,1,1,0.5398220385131868,1
26,female,1,2,2,2,4280,30,0,adult,1,1,0.7638615631169402,1
49,male,1,1,0,1,1262,12,4,middle_age,0,0,0.3820881622286435,1
25,male,2,1,0,2,1484,12,5,young,1,1,0.5366625716187539,1
53,male,2,1,3,0,2835,24,4,middle_age,0,0,0.30117801456074716,1
26,female,2,1,1,0,2404,18,5,adult,0,0,0.3239007169044615,1
75,male,3,0,1,1,6615,24,1,senior,0,0,0.3894780680447554,1
22,female,2,1,1,2,5951,48,5,young,1,1,0.8146762792642267,1
33,female,2,1,1,1,1131,18,4,adult,1,0,0.4364413929134639,0
51,male,2,0,0,1,7511,18,1,middle_age,1,0,0.42290444724640547,0
36,male,3,1,0,0,1238,6,3,adult,0,0,0.23404404625644812,1
35,male,2,1,0,2,2728,15,5,adult,0,1,0.5467701962779697,0
40,male,3,1,1,2,4297,18,4,adult,1,1,0.5473343937247566,1
29,male,2,1,1,1,5179,36,4,adult,1,1,0.6215849435612896,1
28,female,1,1,1,3,745,9,5,adult,1,1,0.6257323923210747,1
32,male,1,0,1,1,1442,18,1,adult,1,0,0.43872460757806403,0
24,male,2,2,2,1,6187,30,1,young,0,1,0.6450026525513927,0
29,male,3,1,1,2,11328,24,7,adult,1,1,0.6194319142426561,1
26,female,2,1,3,0,1386,12,1,adult,1,0,0.28233930116017053,0
26,male,2,1,1,3,1330,12,1,adult,0,1,0.6811991059558777,0
35,male,2,1,0,0,976,12,5,adult,0,0,0.271461700623836,1
24,female,2,2,1,0,1554,6,5,young,0,0,0.2748992988249616,1
32,female,3,1,1,2,18424,48,7,adult,1,1,0.8090216555929491,1
30,female,3,1,1,2,4795,36,5,adult,0,1,0.7098208053688807,0
23,male,0,1,0,2,14555,6,1,young,1,1,0.6117490250567965,1
46,female,2,2,1,1,1845,15,4,middle_age,0,0,0.43280544063021714,1
33,male,2,1,1,0,2058,24,6,adult,0,0,0.34778640074263273,1
38,male,2,1,0,2,754,12,3,adult,0,1,0.5267852530443052,0
22,female,2,1,1,2,1670,9,5,young,1,0,0.49991628565967117,0
36,male,2,1,3,3,2360,15,1,adult,0,1,0.6594158676294535,0
35,male,0,1,0,2,1549,9,1,adult,0,1,0.5620475294963639,0
22,male,2,1,1,0,1478,9,5,young,1,0,0.2608532584510302,0
30,male,3,1,1,1,1823,24,5,adult,1,0,0.4733343454349514,0
33,male,2,1,1,0,2051,18,5,adult,0,0,0.3093701697427975,1
31,male,2,2,1,1,2302,36,5,adult,1,1,0.6424738613845841,1
33,male,2,1,1,0,1478,15,5,adult,0,0,0.2847755628697974,1
42,male,3,1,2,2,8086,36,1,middle_age,1,1,0.7203851605860732,1
41,male,2,2,1,0,1503,12,1,middle_age,0,0,0.3251303261687521,1
26,female,2,1,1,0,763,12,4,adult,0,0,0.28163471591745115,1
27,male,3,1,1,0,6314,24,7,adult,0,0,0.3512023179702435,1
26,female,1,1,1,2,1113,18,5,adult,0,1,0.5852352007756617,0
52,female,1,1,2,0,362,6,1,middle_age,0,0,0.22022806172862525,1
24,female,1,1,1,1,626,12,5,young,1,0,0.4055752538422195,0
60,male,2,0,1,0,2032,24,1,middle_age,0,0,0.2999695735856908,1
42,male,2,0,1,2,6288,60,3,middle_age,1,1,0.8367938079448811,1
24,female,2,2,0,1,1275,15,2,young,1,1,0.5169813575762795,1
35,male,3,1,1,2,1050,6,4,adult,0,0,0.43713899740349665,1
45,male,2,1,1,0,10875,36,1,middle_age,0,1,0.514316423963193,0
24,female,2,1,1,2,1237,8,4,young,1,0,0.4955161465222233,0
50,male,2,1,1,0,2241,21,4,middle_age,0,0,0.31053510763943354,1
29,male,2,2,1,1,11816,45,0,adult,1,1,0.7854502545340332,1
36,male,2,1,1,2,3915,27,0,adult,1,1,0.6857115600890257,1
24,female,0,2,0,2,7472,12,1,young,0,1,0.6783764680479258,0
49,male,1,1,0,3,1445,18,5,middle_age,0,1,0.6757995783654868,0
47,male,2,1,0,0,3578,48,5,middle_age,0,1,0.5628683850677968,0
23,female,2,2,1,0,2146,10,4,young,0,0,0.31785592683048625,1
40,female,2,1,0,0,894,10,3,adult,0,0,0.2652913609032817,1
